date,key,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,income_support,debt_relief,fiscal_measures,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,pos_rate
2021-01-21,US_WY,1,1,1,4,2,1,1,1,1,NA,3,1,NA,NA,2,3,0.046743533811156125
2021-01-22,US_AK,2,1,2,4,0,1,2,1,1,0,3,1,0,0,3,2,0.0346662830840046
2021-01-22,US_AL,2,1,1,0,1,1,1,1,1,0,3,1,0,0,3,2,0.4369385997292974
2021-01-22,US_AR,2,2,1,4,1,1,1,1,1,NA,3,2,NA,NA,3,3,0.18178760615488102
2021-01-22,US_AZ,2,2,2,3,0,1,1,1,1,0,3,2,0,0,3,2,0.15132943440647248
2021-01-22,US_CA,3,2,2,4,0,2,2,2,2,0,3,1,0,0,3,2,0.10780775566328614
2021-01-22,US_CO,2,1,2,4,1,2,1,1,2,NA,2,1,NA,NA,3,2,0.03986077548939189
2021-01-22,US_CT,2,2,1,4,1,1,2,1,2,NA,3,2,NA,NA,3,2,0.05268376692847637
2021-01-22,US_DC,1,1,2,4,0,1,2,1,2,NA,3,2,NA,NA,3,3,0.025338833235120803
2021-01-22,US_DE,2,2,1,4,0,1,1,1,2,NA,3,2,NA,NA,4,1,0.4119420989143546
2021-01-22,US_FL,2,1,1,4,0,2,1,1,1,0,2,1,0,0,3,2,0.14679533824003055
2021-01-22,US_GA,2,1,1,3,0,2,1,1,2,0,3,1,NA,NA,2,2,0.1693359217018523
2021-01-22,US_HI,2,2,2,4,1,2,2,1,2,0,3,2,0,0,3,2,0.03336623889437315
2021-01-22,US_IA,3,1,1,0,0,1,1,2,1,NA,2,1,NA,NA,3,2,0.3496199782844734
2021-01-22,US_ID,1,1,2,4,0,1,1,1,1,NA,2,1,NA,NA,3,2,0.31908237747653806
2021-01-22,US_IL,3,1,1,4,0,1,2,1,2,NA,3,1,NA,NA,3,2,0.05596395164943456
2021-01-22,US_IN,2,1,1,4,0,1,2,1,1,0,2,2,NA,NA,2,2,0.0665065477211643
2021-01-22,US_KS,2,1,2,4,1,1,1,1,1,NA,3,1,NA,NA,3,2,0.2768665641551341
2021-01-22,US_KY,2,1,1,4,2,1,1,1,1,0,3,2,0,0,3,2,0.11588145896656535
2021-01-22,US_LA,2,2,2,4,1,1,1,1,1,NA,2,1,NA,NA,3,2,0.0715763801640677
2021-01-22,US_MA,2,2,2,4,1,1,2,1,1,0,3,2,0,0,4,2,0.04984494365025338
